-	mapped_CRC001_H_single.sam	mapped_CRC001_T_single.sam	mapped_CRC002_H_single.sam	mapped_CRC002_T_single.sam	mapped_CRC003_H_single.sam	mapped_CRC003_T_single.sam	mapped_CRC004_H_single.sam	mapped_CRC004_T_single.sam	mapped_CRC005_H_single.sam	mapped_CRC005_T_single.sam	mapped_CRC006_H_single.sam	mapped_CRC006_T_single.sam	mapped_CRC007_H_single.sam	mapped_CRC007_T_single.sam	mapped_CRC009_H_single.sam	mapped_CRC009_T_single.sam	mapped_CRC010_H_single.sam	mapped_CRC010_T_single.sam	mapped_CRC011_H_single.sam	mapped_CRC011_T_single.sam	mapped_CRC012_H_single.sam	mapped_CRC012_T_single.sam	mapped_CRC013_H_single.sam	mapped_CRC013_T_single.sam
NODE_36277_length_893_cov_1.27924	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
NODE_36317_length_1156_cov_2.07357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
NODE_36318_length_1631_cov_3.09835	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	17	0	0	1	0	0	0	0	1
NODE_36328_length_955_cov_3.20778	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	9	0	0	0	1	0	0	0	0
NODE_36329_length_1000_cov_2.05503	1	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0
NODE_36335_length_900_cov_2.26746	4	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
NODE_36449_length_1470_cov_1.91661	0	0	0	0	0	1	0	0	4	1	2	6	0	0	0	0	0	1	0	0	0	0	0	0
NODE_36458_length_1246_cov_1.89001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	9	0	0	0	0	1	0	0	0
NODE_36467_length_817_cov_2.04724	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
NODE_36482_length_836_cov_1.76953	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0
NODE_36621_length_865_cov_1.42593	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
